Source: ,Na-22            ,     ,
d1      ,15 cm            ,     ,
d2      ,15 cm            ,     ,
TSCA 1  ,Window wide open ,     ,
TSCA 2  ,Window wide open ,     ,
deltat  ,30.0 s           ,     ,
        ,                 ,     ,
theta   ,N1               ,N2   ,Nco
-90     ,5991             ,5988 ,14
-80     ,6429             ,6288 ,14
-70     ,6129             ,5946 ,12
-60     ,6219             ,6054 ,19
-50     ,5997             ,6114 ,16
-40     ,6081             ,6126 ,21
-30     ,6204             ,6231 ,19
-25     ,6099             ,5937 ,12
-20     ,6123             ,6195 ,23
-18     ,6114             ,6090 ,18
-16     ,6300             ,6150 ,41
-14     ,6213             ,5781 ,71
-12     ,6192             ,6180 ,178
-10     ,6099             ,6066 ,351
-8      ,6300             ,6156 ,473
-6      ,6165             ,5712 ,582
-5      ,6201             ,5715 ,671
-4      ,6231             ,6201 ,799
-3      ,6129             ,6045 ,925
-2      ,6246             ,5814 ,1013
-1      ,6033             ,5730 ,1137
0       ,6078             ,5793 ,1159
1       ,6108             ,5910 ,1115
2       ,5997             ,5796 ,1020
3       ,6378             ,6006 ,923
4       ,6114             ,5856 ,798
5       ,6048             ,6228 ,667
6       ,6060             ,5748 ,501
8       ,6129             ,6216 ,356
10      ,6186             ,5793 ,229
12      ,6171             ,5979 ,120
14      ,6204             ,6156 ,48
16      ,6063             ,5919 ,26
18      ,6114             ,6075 ,21
20      ,6042             ,5859 ,21
25      ,6264             ,5964 ,14
30      ,6129             ,6096 ,19
40      ,5964             ,5748 ,23
50      ,6099             ,6297 ,14
60      ,6084             ,6159 ,12
70      ,5994             ,5961 ,18
80      ,6168             ,5727 ,12
90      ,6066             ,5754 ,14
