Detector:,Red (1)
Source:,Co-60
Gating:,Blue (2) on 1.33 MeV photopeak
Seconds:,6650
,
Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,3
15,9
16,34
17,100
18,515
19,542
20,516
21,540
22,508
23,548
24,519
25,506
26,501
27,519
28,531
29,496
30,497
31,475
32,451
33,478
34,492
35,543
36,537
37,472
38,486
39,482
40,485
41,507
42,544
43,561
44,517
45,506
46,495
47,452
48,484
49,515
50,453
51,408
52,480
53,462
54,453
55,461
56,574
57,678
58,831
59,775
60,746
61,619
62,483
63,515
64,496
65,585
66,699
67,794
68,951
69,892
70,837
71,748
72,610
73,541
74,547
75,511
76,510
77,453
78,469
79,456
80,443
81,435
82,397
83,409
84,421
85,399
86,368
87,390
88,361
89,403
90,354
91,400
92,355
93,346
94,333
95,338
96,327
97,376
98,365
99,331
100,347
101,356
102,335
103,356
104,358
105,313
106,331
107,360
108,315
109,318
110,337
111,299
112,301
113,319
114,292
115,298
116,329
117,320
118,325
119,302
120,333
121,311
122,324
123,294
124,301
125,320
126,303
127,294
128,334
129,319
130,274
131,269
132,294
133,267
134,267
135,311
136,262
137,282
138,300
139,282
140,277
141,304
142,320
143,305
144,327
145,278
146,309
147,281
148,250
149,272
150,259
151,261
152,292
153,287
154,292
155,272
156,301
157,264
158,264
159,247
160,267
161,267
162,267
163,292
164,278
165,279
166,279
167,260
168,265
169,259
170,273
171,276
172,281
173,279
174,259
175,278
176,253
177,266
178,258
179,280
180,263
181,262
182,251
183,280
184,283
185,270
186,258
187,268
188,278
189,279
190,258
191,275
192,285
193,261
194,253
195,267
196,244
197,274
198,279
199,280
200,258
201,278
202,264
203,280
204,271
205,272
206,268
207,281
208,281
209,271
210,269
211,249
212,270
213,301
214,272
215,254
216,256
217,269
218,276
219,275
220,286
221,249
222,245
223,306
224,255
225,282
226,286
227,309
228,278
229,289
230,309
231,293
232,264
233,286
234,280
235,259
236,293
237,295
238,323
239,283
240,283
241,259
242,305
243,285
244,318
245,315
246,318
247,252
248,298
249,295
250,317
251,296
252,266
253,315
254,269
255,315
256,290
257,302
258,300
259,325
260,279
261,306
262,296
263,260
264,320
265,288
266,295
267,316
268,297
269,279
270,318
271,342
272,360
273,296
274,327
275,295
276,310
277,298
278,304
279,296
280,307
281,328
282,295
283,337
284,326
285,347
286,352
287,340
288,329
289,334
290,326
291,318
292,342
293,360
294,362
295,326
296,337
297,322
298,350
299,355
300,312
301,313
302,333
303,338
304,337
305,371
306,339
307,376
308,372
309,309
310,359
311,371
312,367
313,363
314,351
315,337
316,354
317,360
318,377
319,362
320,351
321,307
322,365
323,290
324,366
325,321
326,314
327,300
328,323
329,281
330,264
331,256
332,286
333,279
334,235
335,220
336,203
337,204
338,174
339,168
340,195
341,183
342,162
343,142
344,147
345,135
346,140
347,143
348,135
349,104
350,109
351,102
352,110
353,90
354,97
355,103
356,108
357,112
358,101
359,85
360,70
361,74
362,85
363,75
364,78
365,73
366,74
367,73
368,71
369,62
370,76
371,71
372,83
373,98
374,61
375,77
376,72
377,81
378,76
379,84
380,97
381,89
382,94
383,100
384,104
385,133
386,129
387,141
388,164
389,181
390,222
391,265
392,271
393,288
394,356
395,425
396,493
397,554
398,648
399,723
400,749
401,864
402,954
403,1024
404,1157
405,1229
406,1262
407,1329
408,1390
409,1414
410,1457
411,1431
412,1474
413,1517
414,1432
415,1374
416,1276
417,1230
418,1139
419,1066
420,952
421,883
422,798
423,703
424,672
425,608
426,546
427,461
428,410
429,323
430,294
431,214
432,193
433,174
434,133
435,96
436,93
437,73
438,75
439,52
440,51
441,36
442,37
443,39
444,29
445,39
446,33
447,36
448,40
449,41
450,26
451,35
452,54
453,42
454,62
455,55
456,65
457,64
458,80
459,75
460,77
461,71
462,82
463,88
464,87
465,94
466,74
467,91
468,83
469,97
470,70
471,87
472,76
473,78
474,70
475,86
476,60
477,60
478,51
479,55
480,46
481,29
482,35
483,24
484,18
485,18
486,16
487,14
488,19
489,19
490,13
491,14
492,8
493,9
494,6
495,12
496,10
497,8
498,5
499,5
500,6
501,3
502,3
503,9
504,6
505,2
506,2
507,3
508,2
509,4
510,8
511,6
512,5
513,5
514,1
515,5
516,4
517,6
518,2
519,7
520,1
521,2
522,4
523,4
524,4
525,5
526,3
527,4
528,5
529,1
530,5
531,3
532,2
533,4
534,1
535,3
536,3
537,1
538,5
539,5
540,1
541,2
542,2
543,5
544,1
545,6
546,2
547,4
548,1
549,5
550,3
551,3
552,4
553,4
554,2
555,1
556,1
557,2
558,1
559,5
560,2
561,5
562,3
563,1
564,2
565,2
566,3
567,3
568,3
569,5
570,3
571,1
572,3
573,2
574,6
575,2
576,1
577,1
578,1
579,2
580,5
581,4
582,3
583,1
584,0
585,4
586,2
587,3
588,0
589,4
590,4
591,1
592,2
593,1
594,0
595,0
596,2
597,2
598,0
599,3
600,4
601,1
602,1
603,5
604,1
605,1
606,2
607,4
608,2
609,2
610,1
611,3
612,2
613,1
614,2
615,4
616,1
617,0
618,1
619,1
620,1
621,2
622,1
623,2
624,1
625,4
626,0
627,0
628,1
629,0
630,2
631,1
632,2
633,2
634,2
635,3
636,2
637,3
638,0
639,1
640,2
641,1
642,3
643,3
644,1
645,7
646,2
647,0
648,2
649,2
650,1
651,2
652,1
653,0
654,0
655,1
656,1
657,1
658,0
659,2
660,1
661,4
662,0
663,4
664,1
665,1
666,1
667,2
668,0
669,0
670,1
671,1
672,1
673,3
674,3
675,1
676,1
677,3
678,0
679,2
680,2
681,1
682,1
683,0
684,1
685,4
686,2
687,3
688,1
689,2
690,3
691,3
692,3
693,0
694,1
695,2
696,0
697,0
698,1
699,2
700,1
701,1
702,3
703,1
704,1
705,1
706,2
707,2
708,1
709,2
710,1
711,3
712,0
713,0
714,0
715,3
716,1
717,3
718,2
719,0
720,2
721,2
722,1
723,1
724,2
725,2
726,0
727,4
728,0
729,1
730,3
731,1
732,1
733,2
734,2
735,1
736,0
737,4
738,2
739,1
740,2
741,0
742,2
743,3
744,2
745,0
746,1
747,2
748,1
749,1
750,1
751,0
752,1
753,1
754,1
755,2
756,1
757,1
758,0
759,0
760,1
761,0
762,1
763,2
764,0
765,1
766,0
767,1
768,1
769,0
770,1
771,0
772,0
773,0
774,2
775,0
776,3
777,0
778,0
779,1
780,1
781,3
782,1
783,3
784,1
785,1
786,0
787,1
788,3
789,1
790,0
791,2
792,0
793,1
794,0
795,3
796,0
797,0
798,2
799,1
800,1
801,0
802,2
803,1
804,0
805,0
806,1
807,0
808,0
809,3
810,2
811,1
812,1
813,1
814,0
815,0
816,0
817,0
818,1
819,1
820,1
821,2
822,2
823,0
824,1
825,1
826,1
827,0
828,1
829,0
830,0
831,1
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,1
840,1
841,0
842,2
843,0
844,1
845,1
846,0
847,0
848,1
849,0
850,1
851,1
852,1
853,1
854,0
855,0
856,0
857,0
858,0
859,1
860,1
861,1
862,0
863,0
864,0
865,2
866,0
867,1
868,0
869,1
870,0
871,0
872,2
873,4
874,0
875,0
876,1
877,2
878,2
879,2
880,1
881,1
882,4
883,1
884,0
885,3
886,1
887,0
888,0
889,0
890,1
891,2
892,2
893,0
894,0
895,3
896,1
897,1
898,1
899,0
900,0
901,2
902,0
903,0
904,1
905,0
906,0
907,0
908,0
909,0
910,1
911,0
912,0
913,0
914,1
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,1
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,1
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,1
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,1
1010,0
1011,0
1012,0
1013,0
1014,1
1015,1
1016,0
1017,1
1018,0
1019,0
1020,0
1021,0
1022,1
1023,1
