Detector:,Blue (2)
Source:,Background
Gating:,None
Seconds:,1448
,
Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,1
34,174
35,4519
36,4537
37,4367
38,4371
39,4204
40,4194
41,4023
42,3846
43,3791
44,3638
45,3513
46,3410
47,3319
48,3227
49,3260
50,3121
51,3025
52,2942
53,2924
54,2854
55,2673
56,2588
57,2507
58,2547
59,2488
60,2440
61,2265
62,2302
63,2261
64,2240
65,2080
66,2028
67,1998
68,1952
69,1915
70,1826
71,1925
72,1725
73,1654
74,1722
75,1734
76,1679
77,1636
78,1624
79,1606
80,1660
81,1581
82,1596
83,1453
84,1526
85,1336
86,1193
87,1176
88,1284
89,1202
90,1152
91,1060
92,1027
93,1005
94,985
95,963
96,925
97,932
98,944
99,960
100,965
101,951
102,857
103,871
104,830
105,816
106,799
107,753
108,713
109,730
110,648
111,724
112,624
113,668
114,679
115,657
116,706
117,695
118,672
119,632
120,636
121,622
122,617
123,612
124,571
125,591
126,541
127,496
128,536
129,458
130,439
131,454
132,414
133,431
134,408
135,404
136,381
137,385
138,315
139,375
140,331
141,364
142,380
143,385
144,350
145,330
146,316
147,299
148,298
149,306
150,274
151,344
152,299
153,308
154,331
155,313
156,274
157,276
158,284
159,262
160,261
161,279
162,252
163,298
164,286
165,253
166,274
167,296
168,273
169,280
170,247
171,269
172,235
173,258
174,243
175,260
176,260
177,267
178,255
179,272
180,257
181,235
182,219
183,226
184,229
185,230
186,228
187,230
188,238
189,204
190,228
191,199
192,216
193,200
194,212
195,197
196,200
197,223
198,222
199,229
200,242
201,223
202,252
203,232
204,255
205,244
206,243
207,276
208,234
209,238
210,228
211,234
212,260
213,223
214,221
215,206
216,226
217,178
218,182
219,179
220,173
221,149
222,185
223,165
224,154
225,146
226,154
227,146
228,131
229,129
230,125
231,129
232,138
233,108
234,126
235,145
236,134
237,121
238,117
239,103
240,97
241,102
242,114
243,122
244,125
245,133
246,117
247,125
248,104
249,101
250,128
251,121
252,120
253,122
254,137
255,127
256,99
257,113
258,115
259,103
260,110
261,107
262,132
263,101
264,85
265,112
266,105
267,98
268,108
269,89
270,105
271,119
272,115
273,105
274,105
275,85
276,112
277,93
278,82
279,97
280,91
281,82
282,100
283,96
284,107
285,69
286,89
287,98
288,90
289,102
290,96
291,83
292,93
293,108
294,77
295,89
296,78
297,91
298,86
299,74
300,88
301,91
302,91
303,89
304,91
305,89
306,93
307,77
308,103
309,126
310,89
311,89
312,107
313,88
314,98
315,117
316,96
317,83
318,88
319,112
320,100
321,78
322,89
323,82
324,98
325,94
326,88
327,105
328,79
329,97
330,93
331,94
332,79
333,85
334,87
335,71
336,92
337,102
338,91
339,96
340,95
341,79
342,69
343,58
344,63
345,66
346,74
347,79
348,69
349,69
350,76
351,70
352,53
353,61
354,74
355,71
356,68
357,63
358,72
359,59
360,54
361,61
362,53
363,54
364,39
365,62
366,60
367,61
368,56
369,64
370,56
371,53
372,52
373,73
374,46
375,52
376,73
377,63
378,73
379,45
380,68
381,53
382,65
383,63
384,71
385,61
386,66
387,71
388,71
389,71
390,81
391,78
392,68
393,49
394,65
395,58
396,60
397,53
398,71
399,66
400,70
401,62
402,46
403,67
404,68
405,64
406,57
407,55
408,54
409,65
410,45
411,64
412,59
413,49
414,64
415,50
416,50
417,57
418,63
419,47
420,55
421,53
422,48
423,38
424,49
425,38
426,51
427,57
428,42
429,48
430,36
431,44
432,46
433,42
434,44
435,39
436,41
437,41
438,36
439,25
440,29
441,39
442,35
443,35
444,26
445,24
446,40
447,31
448,29
449,31
450,35
451,31
452,34
453,34
454,44
455,26
456,28
457,29
458,38
459,38
460,28
461,27
462,15
463,19
464,28
465,30
466,28
467,35
468,32
469,28
470,32
471,30
472,32
473,38
474,30
475,36
476,30
477,38
478,33
479,38
480,42
481,36
482,42
483,42
484,32
485,42
486,42
487,46
488,42
489,43
490,60
491,55
492,54
493,76
494,59
495,74
496,70
497,81
498,71
499,85
500,96
501,77
502,102
503,103
504,115
505,101
506,92
507,84
508,90
509,77
510,66
511,70
512,83
513,79
514,64
515,55
516,55
517,63
518,60
519,50
520,44
521,48
522,54
523,36
524,38
525,22
526,25
527,29
528,29
529,28
530,26
531,23
532,21
533,15
534,19
535,21
536,29
537,31
538,22
539,25
540,20
541,22
542,14
543,14
544,20
545,17
546,19
547,20
548,14
549,14
550,14
551,15
552,15
553,10
554,18
555,23
556,18
557,22
558,18
559,12
560,15
561,18
562,14
563,17
564,15
565,15
566,17
567,13
568,8
569,15
570,13
571,16
572,9
573,14
574,20
575,8
576,9
577,14
578,14
579,7
580,12
581,12
582,11
583,13
584,12
585,13
586,9
587,17
588,19
589,17
590,10
591,13
592,16
593,22
594,9
595,13
596,10
597,17
598,20
599,22
600,25
601,13
602,12
603,24
604,12
605,16
606,15
607,21
608,11
609,23
610,22
611,13
612,18
613,14
614,20
615,18
616,20
617,10
618,23
619,12
620,9
621,21
622,17
623,17
624,13
625,14
626,8
627,13
628,12
629,6
630,8
631,6
632,12
633,12
634,9
635,12
636,13
637,9
638,8
639,10
640,6
641,8
642,9
643,17
644,10
645,11
646,16
647,12
648,5
649,11
650,9
651,8
652,12
653,3
654,10
655,8
656,6
657,11
658,12
659,12
660,10
661,8
662,8
663,12
664,7
665,8
666,5
667,9
668,7
669,8
670,6
671,6
672,8
673,8
674,7
675,4
676,9
677,11
678,4
679,4
680,7
681,7
682,5
683,12
684,8
685,9
686,5
687,7
688,4
689,8
690,2
691,8
692,8
693,5
694,7
695,6
696,8
697,3
698,6
699,4
700,5
701,7
702,9
703,8
704,9
705,7
706,10
707,7
708,7
709,9
710,4
711,5
712,3
713,10
714,14
715,11
716,11
717,9
718,6
719,9
720,11
721,11
722,8
723,10
724,15
725,8
726,15
727,4
728,13
729,8
730,11
731,9
732,11
733,8
734,4
735,11
736,11
737,9
738,12
739,7
740,14
741,10
742,7
743,9
744,5
745,13
746,13
747,7
748,7
749,9
750,10
751,11
752,8
753,7
754,9
755,3
756,10
757,10
758,11
759,12
760,6
761,10
762,10
763,7
764,7
765,8
766,6
767,6
768,5
769,11
770,11
771,8
772,3
773,6
774,2
775,10
776,4
777,9
778,4
779,8
780,7
781,4
782,8
783,10
784,8
785,5
786,11
787,2
788,7
789,9
790,5
791,6
792,10
793,3
794,7
795,4
796,6
797,8
798,3
799,8
800,8
801,1
802,5
803,9
804,6
805,4
806,11
807,5
808,5
809,6
810,6
811,8
812,6
813,6
814,0
815,5
816,3
817,10
818,7
819,4
820,3
821,7
822,4
823,4
824,4
825,1
826,3
827,8
828,3
829,6
830,3
831,6
832,4
833,2
834,2
835,4
836,4
837,2
838,2
839,1
840,6
841,0
842,2
843,2
844,1
845,0
846,2
847,2
848,0
849,2
850,5
851,1
852,3
853,0
854,2
855,0
856,2
857,2
858,0
859,3
860,3
861,5
862,0
863,3
864,2
865,3
866,2
867,6
868,5
869,5
870,3
871,7
872,3
873,4
874,4
875,6
876,12
877,5
878,10
879,11
880,9
881,5
882,10
883,8
884,10
885,11
886,7
887,9
888,9
889,7
890,7
891,16
892,15
893,11
894,7
895,12
896,10
897,15
898,11
899,7
900,7
901,8
902,7
903,13
904,9
905,11
906,10
907,9
908,6
909,7
910,4
911,7
912,11
913,10
914,6
915,5
916,5
917,7
918,3
919,3
920,4
921,4
922,3
923,4
924,7
925,5
926,3
927,0
928,2
929,3
930,0
931,2
932,2
933,0
934,1
935,3
936,2
937,1
938,0
939,1
940,1
941,3
942,0
943,0
944,1
945,1
946,0
947,1
948,0
949,0
950,0
951,0
952,0
953,0
954,1
955,0
956,1
957,0
958,0
959,2
960,0
961,0
962,1
963,1
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,1
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,1
982,1
983,1
984,0
985,0
986,0
987,1
988,0
989,0
990,1
991,0
992,0
993,0
994,1
995,0
996,0
997,0
998,1
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,1
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,1
1022,0
1023,0
